d(1, 1) = 1.41421
d(279, 279) = 394.566
d(280, 280) = 395.98
d(281, 281) = 397.394
d(282, 282) = 398.808
d(283, 283) = 400.222
d(284, 284) = 401.637
d(285, 285) = 403.051
d(286, 286) = 404.465
d(287, 287) = 405.879
d(288, 288) = 407.294
d(289, 289) = 408.708
d(290, 290) = 410.122
d(291, 291) = 411.536
d(292, 292) = 412.95
d(293, 293) = 414.365
d(294, 294) = 415.779
d(295, 295) = 417.193
d(296, 296) = 418.607
d(297, 297) = 420.021
d(298, 298) = 421.436
d(299, 299) = 422.85
d(300, 300) = 424.264
d(301, 301) = 425.678
d(302, 302) = 427.092
d(303, 303) = 428.507
d(304, 304) = 429.921
d(305, 305) = 431.335
d(306, 306) = 432.749
d(307, 307) = 434.164
d(308, 308) = 435.578
d(309, 309) = 436.992
d(310, 310) = 438.406
d(311, 311) = 439.82
d(312, 312) = 441.235
d(313, 313) = 442.649
d(314, 314) = 444.063
d(315, 315) = 445.477
d(316, 316) = 446.891
d(317, 317) = 448.306
d(318, 318) = 449.72
d(319, 319) = 451.134
d(320, 320) = 452.548
d(321, 321) = 453.963
d(322, 322) = 455.377
d(323, 323) = 456.791
d(324, 324) = 458.205
d(325, 325) = 459.619
d(326, 326) = 461.034
d(327, 327) = 462.448
d(328, 328) = 463.862
d(329, 329) = 465.276
d(330, 330) = 466.69
d(331, 331) = 468.105
d(332, 332) = 469.519
d(333, 333) = 470.933
d(334, 334) = 472.347
d(335, 335) = 473.762
d(336, 336) = 475.176
d(337, 337) = 476.59
d(338, 338) = 478.004
d(339, 339) = 479.418
d(340, 340) = 480.833
d(341, 341) = 482.247
d(342, 342) = 483.661
d(343, 343) = 485.075
d(344, 344) = 486.489
d(345, 345) = 487.904
d(346, 346) = 489.318
d(347, 347) = 490.732
d(348, 348) = 492.146
d(349, 349) = 493.561
d(350, 350) = 494.975
d(351, 351) = 496.389
d(352, 352) = 497.803
d(353, 353) = 499.217
d(354, 354) = 500.632
d(355, 355) = 502.046
d(356, 356) = 503.46
d(357, 357) = 504.874
d(358, 358) = 506.288
d(359, 359) = 507.703
d(360, 360) = 509.117
d(361, 361) = 510.531
d(362, 362) = 511.945
d(363, 363) = 513.36
d(364, 364) = 514.774
d(365, 365) = 516.188
d(366, 366) = 517.602
d(367, 367) = 519.016
d(368, 368) = 520.431
d(369, 369) = 521.845
d(370, 370) = 523.259
d(371, 371) = 524.673
d(372, 372) = 526.087
d(373, 373) = 527.502
d(374, 374) = 528.916
d(375, 375) = 530.33
d(376, 376) = 531.744
d(377, 377) = 533.159
d(378, 378) = 534.573
d(379, 379) = 535.987
d(380, 380) = 537.401
d(381, 381) = 538.815
d(382, 382) = 540.23
d(383, 383) = 541.644
d(384, 384) = 543.058
d(385, 385) = 544.472
d(386, 386) = 545.886
d(387, 387) = 547.301
d(388, 388) = 548.715
d(389, 389) = 550.129
d(390, 390) = 551.543
d(391, 391) = 552.958
d(392, 392) = 554.372
d(393, 393) = 555.786
d(394, 394) = 557.2
d(395, 395) = 558.614
d(396, 396) = 560.029
d(397, 397) = 561.443
d(398, 398) = 562.857
d(399, 399) = 564.271
d(400, 400) = 565.685
d(401, 401) = 567.1
d(402, 402) = 568.514
d(403, 403) = 569.928
d(404, 404) = 571.342
d(405, 405) = 572.756
d(406, 406) = 574.171
d(407, 407) = 575.585
d(408, 408) = 576.999
d(409, 409) = 578.413
d(410, 410) = 579.828
d(411, 411) = 581.242
d(412, 412) = 582.656
d(413, 413) = 584.07
d(414, 414) = 585.484
d(415, 415) = 586.899
d(416, 416) = 588.313
d(417, 417) = 589.727
d(418, 418) = 591.141
d(419, 419) = 592.555
d(420, 420) = 593.97
d(421, 421) = 595.384
d(422, 422) = 596.798
d(423, 423) = 598.212
d(424, 424) = 599.627
d(425, 425) = 601.041
d(426, 426) = 602.455
d(427, 427) = 603.869
d(428, 428) = 605.283
d(429, 429) = 606.698
d(430, 430) = 608.112
d(431, 431) = 609.526
d(432, 432) = 610.94
d(433, 433) = 612.354
d(434, 434) = 613.769
d(435, 435) = 615.183
d(436, 436) = 616.597
d(437, 437) = 618.011
d(438, 438) = 619.426
d(439, 439) = 620.84
d(440, 440) = 622.254
d(441, 441) = 623.668
d(442, 442) = 625.082
d(443, 443) = 626.497
d(444, 444) = 627.911
d(445, 445) = 629.325
d(446, 446) = 630.739
d(447, 447) = 632.153
d(448, 448) = 633.568
d(449, 449) = 634.982
d(450, 450) = 636.396
d(451, 451) = 637.81
d(452, 452) = 639.225
d(453, 453) = 640.639
d(454, 454) = 642.053
d(455, 455) = 643.467
d(456, 456) = 644.881
d(457, 457) = 646.296
d(458, 458) = 647.71
d(459, 459) = 649.124
d(460, 460) = 650.538
d(461, 461) = 651.952
d(462, 462) = 653.367
d(463, 463) = 654.781
d(464, 464) = 656.195
d(465, 465) = 657.609
d(466, 466) = 659.024
d(467, 467) = 660.438
d(468, 468) = 661.852
d(469, 469) = 663.266
d(470, 470) = 664.68
d(471, 471) = 666.095
d(472, 472) = 667.509
d(473, 473) = 668.923
d(474, 474) = 670.337
d(475, 475) = 671.751
d(476, 476) = 673.166
d(477, 477) = 674.58
d(478, 478) = 675.994
d(479, 479) = 677.408
d(480, 480) = 678.823
d(481, 481) = 680.237
d(482, 482) = 681.651
d(483, 483) = 683.065
d(484, 484) = 684.479
d(485, 485) = 685.894
d(486, 486) = 687.308
d(487, 487) = 688.722
d(488, 488) = 690.136
d(489, 489) = 691.55
d(490, 490) = 692.965
d(491, 491) = 694.379
d(492, 492) = 695.793
d(493, 493) = 697.207
d(494, 494) = 698.621
d(495, 495) = 700.036
d(496, 496) = 701.45
d(497, 497) = 702.864
d(498, 498) = 704.278
d(499, 499) = 705.693
d(500, 500) = 707.107
d(501, 501) = 708.521
d(502, 502) = 709.935
d(503, 503) = 711.349
d(504, 504) = 712.764
d(505, 505) = 714.178
d(506, 506) = 715.592
d(507, 507) = 717.006
d(508, 508) = 718.42
d(509, 509) = 719.835
d(510, 510) = 721.249
d(511, 511) = 722.663
d(512, 512) = 724.077
d(513, 513) = 725.492
d(514, 514) = 726.906
d(515, 515) = 728.32
d(516, 516) = 729.734
d(517, 517) = 731.148
d(518, 518) = 732.563
d(519, 519) = 733.977
d(520, 520) = 735.391
d(521, 521) = 736.805
d(522, 522) = 738.219
d(523, 523) = 739.634
d(524, 524) = 741.048
d(525, 525) = 742.462
d(526, 526) = 743.876
d(527, 527) = 745.291
d(528, 528) = 746.705
d(529, 529) = 748.119
d(530, 530) = 749.533
d(531, 531) = 750.947
d(532, 532) = 752.362
d(533, 533) = 753.776
d(534, 534) = 755.19
d(535, 535) = 756.604
d(536, 536) = 758.018
d(537, 537) = 759.433
d(538, 538) = 760.847
d(539, 539) = 762.261
d(540, 540) = 763.675
d(541, 541) = 765.09
d(542, 542) = 766.504
d(543, 543) = 767.918
d(544, 544) = 769.332
d(545, 545) = 770.746
d(546, 546) = 772.161
d(547, 547) = 773.575
d(548, 548) = 774.989
d(549, 549) = 776.403
d(550, 550) = 777.817
d(551, 551) = 779.232
d(552, 552) = 780.646
d(553, 553) = 782.06
d(554, 554) = 783.474
d(555, 555) = 784.889
d(556, 556) = 786.303
d(557, 557) = 787.717
d(558, 558) = 789.131
d(559, 559) = 790.545
d(560, 560) = 791.96
d(561, 561) = 793.374
d(562, 562) = 794.788
d(563, 563) = 796.202
d(564, 564) = 797.616
d(565, 565) = 799.031
d(566, 566) = 800.445
d(567, 567) = 801.859
d(568, 568) = 803.273
d(569, 569) = 804.688
d(570, 570) = 806.102
d(571, 571) = 807.516
d(572, 572) = 808.93
d(573, 573) = 810.344
d(574, 574) = 811.759
d(575, 575) = 813.173
d(576, 576) = 814.587
d(577, 577) = 816.001
d(578, 578) = 817.415
d(579, 579) = 818.83
d(580, 580) = 820.244
d(581, 581) = 821.658
d(582, 582) = 823.072
d(583, 583) = 824.487
d(584, 584) = 825.901
d(585, 585) = 827.315
d(586, 586) = 828.729
d(587, 587) = 830.143
d(588, 588) = 831.558
d(589, 589) = 832.972
d(590, 590) = 834.386
d(591, 591) = 835.8
d(592, 592) = 837.214
d(593, 593) = 838.629
d(594, 594) = 840.043
d(595, 595) = 841.457
d(596, 596) = 842.871
d(597, 597) = 844.285
d(598, 598) = 845.7
d(599, 599) = 847.114
d(600, 600) = 848.528
d(601, 601) = 849.942
d(602, 602) = 851.357
d(603, 603) = 852.771
d(604, 604) = 854.185
d(605, 605) = 855.599
d(606, 606) = 857.013
d(607, 607) = 858.428
d(608, 608) = 859.842
d(609, 609) = 861.256
d(610, 610) = 862.67
d(611, 611) = 864.084
d(612, 612) = 865.499
d(613, 613) = 866.913
d(614, 614) = 868.327
d(615, 615) = 869.741
d(616, 616) = 871.156
d(617, 617) = 872.57
d(618, 618) = 873.984
d(619, 619) = 875.398
d(620, 620) = 876.812
d(621, 621) = 878.227
d(622, 622) = 879.641
d(623, 623) = 881.055
d(624, 624) = 882.469
d(625, 625) = 883.883
d(626, 626) = 885.298
d(627, 627) = 886.712
d(628, 628) = 888.126
d(629, 629) = 889.54
d(630, 630) = 890.955
d(631, 631) = 892.369
d(632, 632) = 893.783
d(633, 633) = 895.197
d(634, 634) = 896.611
d(635, 635) = 898.026
d(636, 636) = 899.44
d(637, 637) = 900.854
d(638, 638) = 902.268
d(639, 639) = 903.682
d(640, 640) = 905.097
d(641, 641) = 906.511
d(642, 642) = 907.925
d(643, 643) = 909.339
d(644, 644) = 910.754
d(645, 645) = 912.168
d(646, 646) = 913.582
d(647, 647) = 914.996
d(648, 648) = 916.41
d(649, 649) = 917.825
d(650, 650) = 919.239
d(651, 651) = 920.653
d(652, 652) = 922.067
d(653, 653) = 923.481
d(654, 654) = 924.896
d(655, 655) = 926.31
d(656, 656) = 927.724
d(657, 657) = 929.138
d(658, 658) = 930.553
d(659, 659) = 931.967
d(660, 660) = 933.381
d(661, 661) = 934.795
d(662, 662) = 936.209
d(663, 663) = 937.624
d(664, 664) = 939.038
d(665, 665) = 940.452
d(666, 666) = 941.866
d(667, 667) = 943.28
d(668, 668) = 944.695
d(669, 669) = 946.109
d(670, 670) = 947.523
d(671, 671) = 948.937
d(672, 672) = 950.352
d(673, 673) = 951.766
d(674, 674) = 953.18
d(675, 675) = 954.594
d(676, 676) = 956.008
d(677, 677) = 957.423
d(678, 678) = 958.837
d(679, 679) = 960.251
d(680, 680) = 961.665
d(681, 681) = 963.079
d(682, 682) = 964.494
d(683, 683) = 965.908
d(684, 684) = 967.322
d(685, 685) = 968.736
d(686, 686) = 970.151
d(687, 687) = 971.565
d(688, 688) = 972.979
d(689, 689) = 974.393
d(690, 690) = 975.807
d(691, 691) = 977.222
d(692, 692) = 978.636
d(693, 693) = 980.05
d(694, 694) = 981.464
d(695, 695) = 982.878
d(696, 696) = 984.293
d(697, 697) = 985.707
d(698, 698) = 987.121
d(699, 699) = 988.535
d(700, 700) = 989.949
d(701, 701) = 991.364
d(702, 702) = 992.778
d(703, 703) = 994.192
d(704, 704) = 995.606
d(705, 705) = 997.021
d(706, 706) = 998.435
d(707, 707) = 999.849
d(708, 708) = 1001.26
d(709, 709) = 1002.68
d(710, 710) = 1004.09
d(711, 711) = 1005.51
d(712, 712) = 1006.92
d(713, 713) = 1008.33
d(714, 714) = 1009.75
d(715, 715) = 1011.16
d(716, 716) = 1012.58
d(717, 717) = 1013.99
d(718, 718) = 1015.41
d(719, 719) = 1016.82
d(720, 720) = 1018.23
d(721, 721) = 1019.65
d(722, 722) = 1021.06
d(723, 723) = 1022.48
d(724, 724) = 1023.89
d(725, 725) = 1025.3
d(726, 726) = 1026.72
d(727, 727) = 1028.13
d(728, 728) = 1029.55
d(729, 729) = 1030.96
d(730, 730) = 1032.38
d(731, 731) = 1033.79
d(732, 732) = 1035.2
d(733, 733) = 1036.62
d(734, 734) = 1038.03
d(735, 735) = 1039.45
d(736, 736) = 1040.86
d(737, 737) = 1042.28
d(738, 738) = 1043.69
d(739, 739) = 1045.1
d(740, 740) = 1046.52
d(741, 741) = 1047.93
d(742, 742) = 1049.35
d(743, 743) = 1050.76
d(744, 744) = 1052.17
d(745, 745) = 1053.59
d(746, 746) = 1055
d(747, 747) = 1056.42
d(748, 748) = 1057.83
d(749, 749) = 1059.25
d(750, 750) = 1060.66
d(751, 751) = 1062.07
d(752, 752) = 1063.49
d(753, 753) = 1064.9
d(754, 754) = 1066.32
d(755, 755) = 1067.73
d(756, 756) = 1069.15
d(757, 757) = 1070.56
d(758, 758) = 1071.97
d(759, 759) = 1073.39
d(760, 760) = 1074.8
d(761, 761) = 1076.22
d(762, 762) = 1077.63
d(763, 763) = 1079.04
d(764, 764) = 1080.46
d(765, 765) = 1081.87
d(766, 766) = 1083.29
d(767, 767) = 1084.7
d(768, 768) = 1086.12
d(769, 769) = 1087.53
d(770, 770) = 1088.94
d(771, 771) = 1090.36
d(772, 772) = 1091.77
d(773, 773) = 1093.19
d(774, 774) = 1094.6
d(775, 775) = 1096.02
d(776, 776) = 1097.43
d(777, 777) = 1098.84
d(778, 778) = 1100.26
d(779, 779) = 1101.67
d(780, 780) = 1103.09
d(781, 781) = 1104.5
d(782, 782) = 1105.92
d(783, 783) = 1107.33
d(784, 784) = 1108.74
d(785, 785) = 1110.16
d(786, 786) = 1111.57
d(787, 787) = 1112.99
d(788, 788) = 1114.4
d(789, 789) = 1115.81
d(790, 790) = 1117.23
d(791, 791) = 1118.64
d(792, 792) = 1120.06
d(793, 793) = 1121.47
d(794, 794) = 1122.89
d(795, 795) = 1124.3
d(796, 796) = 1125.71
d(797, 797) = 1127.13
d(798, 798) = 1128.54
d(799, 799) = 1129.96
d(800, 800) = 1131.37
d(801, 801) = 1132.79
d(802, 802) = 1134.2
d(803, 803) = 1135.61
d(804, 804) = 1137.03
d(805, 805) = 1138.44
d(806, 806) = 1139.86
d(807, 807) = 1141.27
d(808, 808) = 1142.68
d(809, 809) = 1144.1
d(810, 810) = 1145.51
d(811, 811) = 1146.93
d(812, 812) = 1148.34
d(813, 813) = 1149.76
d(814, 814) = 1151.17
d(815, 815) = 1152.58
d(816, 816) = 1154
d(817, 817) = 1155.41
d(818, 818) = 1156.83
d(819, 819) = 1158.24
d(820, 820) = 1159.66
d(821, 821) = 1161.07
d(822, 822) = 1162.48
d(823, 823) = 1163.9
d(824, 824) = 1165.31
d(825, 825) = 1166.73
d(826, 826) = 1168.14
d(827, 827) = 1169.55
d(828, 828) = 1170.97
d(829, 829) = 1172.38
d(830, 830) = 1173.8
d(831, 831) = 1175.21
d(832, 832) = 1176.63
d(833, 833) = 1178.04
d(834, 834) = 1179.45
d(835, 835) = 1180.87
d(836, 836) = 1182.28
d(837, 837) = 1183.7
d(838, 838) = 1185.11
d(839, 839) = 1186.53
d(840, 840) = 1187.94
d(841, 841) = 1189.35
d(842, 842) = 1190.77
d(843, 843) = 1192.18
d(844, 844) = 1193.6
d(845, 845) = 1195.01
d(846, 846) = 1196.42
d(847, 847) = 1197.84
d(848, 848) = 1199.25
d(849, 849) = 1200.67
d(850, 850) = 1202.08
d(851, 851) = 1203.5
d(852, 852) = 1204.91
d(853, 853) = 1206.32
d(854, 854) = 1207.74
d(855, 855) = 1209.15
d(856, 856) = 1210.57
d(857, 857) = 1211.98
d(858, 858) = 1213.4
d(859, 859) = 1214.81
d(860, 860) = 1216.22
d(861, 861) = 1217.64
d(862, 862) = 1219.05
d(863, 863) = 1220.47
d(864, 864) = 1221.88
d(865, 865) = 1223.29
d(866, 866) = 1224.71
d(867, 867) = 1226.12
d(868, 868) = 1227.54
d(869, 869) = 1228.95
d(870, 870) = 1230.37
d(871, 871) = 1231.78
d(872, 872) = 1233.19
d(873, 873) = 1234.61
d(874, 874) = 1236.02
d(875, 875) = 1237.44
d(876, 876) = 1238.85
d(877, 877) = 1240.27
d(878, 878) = 1241.68
d(879, 879) = 1243.09
d(880, 880) = 1244.51
d(881, 881) = 1245.92
d(882, 882) = 1247.34
d(883, 883) = 1248.75
d(884, 884) = 1250.16
d(885, 885) = 1251.58
d(886, 886) = 1252.99
d(887, 887) = 1254.41
d(888, 888) = 1255.82
d(889, 889) = 1257.24
d(890, 890) = 1258.65
d(891, 891) = 1260.06
d(892, 892) = 1261.48
d(893, 893) = 1262.89
d(894, 894) = 1264.31
d(895, 895) = 1265.72
d(896, 896) = 1267.14
d(897, 897) = 1268.55
d(898, 898) = 1269.96
d(899, 899) = 1271.38
d(900, 900) = 1272.79
d(901, 901) = 1274.21
d(902, 902) = 1275.62
d(903, 903) = 1277.03
d(904, 904) = 1278.45
d(905, 905) = 1279.86
d(906, 906) = 1281.28
d(907, 907) = 1282.69
d(908, 908) = 1284.11
d(909, 909) = 1285.52
d(910, 910) = 1286.93
d(911, 911) = 1288.35
d(912, 912) = 1289.76
d(913, 913) = 1291.18
d(914, 914) = 1292.59
d(915, 915) = 1294.01
d(916, 916) = 1295.42
d(917, 917) = 1296.83
d(918, 918) = 1298.25
d(919, 919) = 1299.66
d(920, 920) = 1301.08
d(921, 921) = 1302.49
d(922, 922) = 1303.9
d(923, 923) = 1305.32
d(924, 924) = 1306.73
d(925, 925) = 1308.15
d(926, 926) = 1309.56
d(927, 927) = 1310.98
d(928, 928) = 1312.39
d(929, 929) = 1313.8
d(930, 930) = 1315.22
d(931, 931) = 1316.63
d(932, 932) = 1318.05
d(933, 933) = 1319.46
d(934, 934) = 1320.88
d(935, 935) = 1322.29
d(936, 936) = 1323.7
d(937, 937) = 1325.12
d(938, 938) = 1326.53
d(939, 939) = 1327.95
d(940, 940) = 1329.36
d(941, 941) = 1330.77
d(942, 942) = 1332.19
d(943, 943) = 1333.6
d(944, 944) = 1335.02
d(945, 945) = 1336.43
d(946, 946) = 1337.85
d(947, 947) = 1339.26
d(948, 948) = 1340.67
d(949, 949) = 1342.09
d(950, 950) = 1343.5
d(951, 951) = 1344.92
d(952, 952) = 1346.33
d(953, 953) = 1347.75
d(954, 954) = 1349.16
d(955, 955) = 1350.57
d(956, 956) = 1351.99
d(957, 957) = 1353.4
d(958, 958) = 1354.82
d(959, 959) = 1356.23
d(960, 960) = 1357.65
d(961, 961) = 1359.06
d(962, 962) = 1360.47
d(963, 963) = 1361.89
d(964, 964) = 1363.3
d(965, 965) = 1364.72
d(966, 966) = 1366.13
d(967, 967) = 1367.54
d(968, 968) = 1368.96
d(969, 969) = 1370.37
d(970, 970) = 1371.79
d(971, 971) = 1373.2
d(972, 972) = 1374.62
d(973, 973) = 1376.03
d(974, 974) = 1377.44
d(975, 975) = 1378.86
d(976, 976) = 1380.27
d(977, 977) = 1381.69
d(978, 978) = 1383.1
d(979, 979) = 1384.52
d(980, 980) = 1385.93
d(981, 981) = 1387.34
d(982, 982) = 1388.76
d(983, 983) = 1390.17
d(984, 984) = 1391.59
d(985, 985) = 1393
d(986, 986) = 1394.41
d(987, 987) = 1395.83
d(988, 988) = 1397.24
d(989, 989) = 1398.66
d(990, 990) = 1400.07
d(991, 991) = 1401.49
d(992, 992) = 1402.9
d(993, 993) = 1404.31
d(994, 994) = 1405.73
d(995, 995) = 1407.14
d(996, 996) = 1408.56
d(997, 997) = 1409.97
d(998, 998) = 1411.39
d(999, 999) = 1412.8
d(1000, 1000) = 1414.21
d(1001, 1001) = 1415.63
d(1002, 1002) = 1417.04
d(1003, 1003) = 1418.46
d(1004, 1004) = 1419.87
d(1005, 1005) = 1421.28
d(1006, 1006) = 1422.7
d(1007, 1007) = 1424.11
d(1008, 1008) = 1425.53
d(1009, 1009) = 1426.94
d(1010, 1010) = 1428.36
d(1011, 1011) = 1429.77
d(1012, 1012) = 1431.18
d(1013, 1013) = 1432.6
d(1014, 1014) = 1434.01
d(1015, 1015) = 1435.43
d(1016, 1016) = 1436.84
d(1017, 1017) = 1438.26
d(1018, 1018) = 1439.67
d(1019, 1019) = 1441.08
d(1020, 1020) = 1442.5
d(1021, 1021) = 1443.91
d(1022, 1022) = 1445.33
d(1023, 1023) = 1446.74
d(1024, 1024) = 1448.15
d(1025, 1025) = 1449.57
d(1026, 1026) = 1450.98
d(1027, 1027) = 1452.4
d(1028, 1028) = 1453.81
d(1029, 1029) = 1455.23
d(1030, 1030) = 1456.64
d(1031, 1031) = 1458.05
d(1032, 1032) = 1459.47
d(1033, 1033) = 1460.88
d(1034, 1034) = 1462.3
d(1035, 1035) = 1463.71
d(1036, 1036) = 1465.13
d(1037, 1037) = 1466.54
d(1038, 1038) = 1467.95
d(1039, 1039) = 1469.37
